Recovery_Debt_Score,Days_Until_Due,Task_Priority_Weight,Is_Fixed_Time,Is_Recovery_Activity,Duration_Minutes,Label,_Category_ID_debug
51,9,1,0,1,180,1,3
92,1,1,0,0,180,0,2
14,10,1,0,1,30,1,3
71,8,1,0,0,60,0,4
60,9,2,1,0,180,1,1
20,4,3,1,0,90,1,0
82,13,2,0,1,30,1,3
86,6,1,1,1,120,1,3
74,10,1,0,0,60,0,2
74,10,3,0,0,30,1,4
87,1,1,0,0,180,0,2
99,8,1,0,0,60,0,2
23,12,1,0,0,90,1,4
2,8,3,0,0,60,1,0
21,3,3,0,0,60,1,2
52,3,2,0,0,90,1,2
1,5,1,0,1,90,1,3
87,9,1,0,0,60,0,4
29,9,3,1,0,90,1,1
37,9,3,1,0,30,1,0
1,5,3,0,0,90,1,0
63,11,2,0,0,90,1,4
59,0,1,0,1,60,1,3
20,13,2,0,1,30,1,3
32,13,2,0,0,120,1,4
75,8,1,0,1,120,0,3
57,1,3,0,0,180,1,0
21,4,2,1,0,90,1,0
88,8,1,1,0,90,1,1
48,3,1,1,0,30,1,4
90,10,1,0,0,120,0,2
58,2,1,0,0,180,1,2
41,14,2,1,0,30,1,1
91,6,2,1,0,90,1,1
59,5,1,0,1,120,1,3
79,7,2,1,0,180,1,1
14,2,1,1,0,60,1,1
61,4,2,0,0,120,1,2
61,9,1,0,1,180,0,3
46,3,2,1,0,30,1,1
61,14,3,1,0,60,1,1
50,12,2,0,1,180,1,3
54,3,3,0,0,180,1,4
63,3,1,0,1,90,1,3
2,9,1,0,0,120,1,2
100,7,2,0,0,90,0,4
50,5,2,1,0,60,1,0
6,2,1,1,1,180,1,3
20,9,1,0,0,90,1,2
72,4,3,0,0,120,1,4
38,5,1,0,1,60,1,3
17,4,3,1,0,30,1,1
3,5,2,0,1,90,1,3
88,7,3,1,0,60,1,0
59,6,2,0,1,30,1,3
13,4,2,0,0,90,1,4
8,9,3,0,0,60,1,4
89,5,1,0,1,60,1,3
52,13,2,0,0,90,1,4
1,3,2,1,0,60,1,1
83,11,3,0,1,180,1,3
91,8,2,1,0,90,1,1
59,12,2,1,0,60,1,1
70,3,2,0,0,30,1,2
43,0,2,0,1,30,1,3
7,6,2,0,0,180,1,4
46,6,2,1,0,90,1,1
34,3,1,0,0,60,1,2
77,12,3,0,1,60,1,3
80,13,2,0,1,30,1,3
35,2,3,0,0,180,1,0
49,7,1,1,0,30,1,0
3,4,2,1,0,30,1,1
1,9,3,0,0,180,1,0
